Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,0863 PER (EX 08560863),"Seminis Vegetable Seeds, Inc",Myocoba/2//Peruano/Etna,"1a growth habit-bush-determinate, Mid-season maturity, days to maturity-95, days to flowering-55 (50% bloom)",Bean common mosaic (I gene resistant),,,200900276,Peruano,,,,,
USA,Adams (B18504),Michigan State University,Zenith/X12018,"Medium maturity (96 days) /3a Vine-indeterminate, short guides with no ability to climb, 45 days to 50% bloom","Bean common mosaic virus (NL3), anthracnose (Race 73 &109)",common bacterial blight,,,Black,"Journal of Plant Registrations 2021, 15(2): 253-259",,,,
USA,Alpena (N11283),Michigan State University,Medalist/N08003,"Medium maturity (99 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 45 days to 50% bloom",Bean Common Mosaic Virus (non-necrotic strains),"Bean Common Mosaic Virus (BV1, NL4, Mexican, NY15, and Florida Type)",,201700007,Navy,"Journal of Plant Registrations 2015, 9(1): 10-14",,,,
USA,Aries (05106),"ProVita, Inc",Matterhorn/NE94-75,"Early maturity (88 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest",,,,201200165,Great Northern,,,,,
USA,Aspen (ISB 565),Idaho Seed Bean Co,Midnight Black Turtle/ISB 456,"Medium maturity (90-100), days to maturity-91, 2a growth habit-erect, indeterminate, guides short or not developed, days to flowering-50 (50% bloom)",Bean common mosaic virus (All),common bacterial blight,"halo blight, Rhizoctonia root rot, rust",9600251,Navy,,,,,
USA,Avalanche (NDO12103),NDSU Research Foundation,96-177-01-01//Voyager/Black Knight,"2a growth habit- erect indeterminate, late-season maturity, days to maturity-103, days to flowering-55 (50% bloom)","Bean common mosaic virus (All races of necrotic strain), rust (40-42, 52-57, 59-61), air pollution","white mold, anthracnose 7 & 73",,200900222,Navy,"Journal of Plant Registrations 2011, 5(2): 170-176",,,,
USA,Baja (99204),ProVita Inc,Winchester/85312,"Early season maturity (80-90), 2b growth habit- erect, indeterminate, guides medium to long with no ability to climb, days to maturity-84, days to flowering-45 (50% bloom)","Bean common mosaic virus (NY 15, NL 8)/rust",,,200700298,Pinto,,,,,
USA,Bandit (B210237),Archer-Daniels-Midland Co,T39/Midnight,"Medium maturity (90 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 53 days to 50% bloom",,,white mold,200700089,Black,,,,,
USA,Bella (PR1217-16),University of Puerto Rico Agricultural Experiment Station and the USDA-ARS,‘Verano’//PR0003-124/‘Raven’,"multiple disease–resistant, early maturity, erect plant architecture, and good pod-set cultivar adapted to the humid tropics","Bean common mosaic virus (BCMV),",,,,Navy,"Journal of Plant Registrations 2008, 2(3): 187-189",,,,
USA,BELLAGIO (C06808),Michigan State University,101800/C03129,"Medium maturity (96 days), 3a vine-indeterminate, short guides with no ability to climb, not adapted to direct harvest, 43 days to 50% bloom","anthracnose (Race 73), Bean common mosaic virus (All strains), rust (Michigan Isolates)","Bean common mosaic necrosis virus (All strains), common bacterial blight (Michigan Isolates), white mold (Michigan Isolates)",,201100450,Cranberry,"Journal of Plant Registrations 2010, 4(3): 171-174",,,,
USA,Beryl R (RDG689),"Syngenta Seeds, Inc",BelMiNeb-RMR-3/Beryl,"Early maturity (81 days), 3a vine-indeterminate, short guides with no ability to climb, not adapted to direct harvest, 42 days to 50% bloom","rust (All known races except 108), Bean common mosaic virus (Races controlled by the ""I"" gene)",,,200600224,Great Northern,,,,,
USA,Big Red (09351),"ProVita, Inc",CELRK/Foxfire,"Medium maturity (92 days), 1a bush-determinate, strong and erect stem, and branches, adapted to direct harvest, 42 days to 50% bloom",,,,201400392,Navy,,,,,
USA,BigHorn (ISB-20),Idaho Seed Bean Company,selected from USWA 12,"Medium maturity (91 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest","Bean common mosaic virus, Curly Top, NY-15 Bean Mosaic, Bean mosaic virus 4","yellow bean mosaic virus, Fusarium root rot",,200200214,Great Northern,,,,,
USA,Black Bear (12576),"ProVita, Cooperative Elevator Company & ATM",05222/Jaguar,"late maturity (103 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 54 days to 50% bloom",Bean common mosaic virus (I gene),rust,,201800186,Black,"Journal of Plant Registrations 2021, 15(2): 253-259",,,,
USA,Black Cat (06252),"ADM Edible Bean Specialties, Inc",Raven/99077,"Medium maturity (94 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest",anthracnose (Race 7),anthracnose (Race 73),,201400412,Black,,,,,
USA,Black Tails (13489),"ProVita, Cooperative Elevator Company & ATM",Vigilant/Eclipse,"Medium maturity (98 days), 2b erect growth habit-indeterminate, guides medium to long with no ability to climb, adapted to direct harvest, 47 days to 50% bloom",rust /Bean common mosaic virus (I gene),,,201700205,Black,,,,,
USA,Blackhawk (B83302),Michigan State University,Tuscola/CN49-242//Black Magic/3/Midnight,"late maturity (101 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest, 51 days to 50% bloom","anthracnose (Alpha, Beta, Gamma, Delta, Epsilon, Lambda), Bean common mosaic virus (All strains)",,Rust (Michigan Isolates),9000107,Black,"Crop Science 1990, 30(3): 744-745",,,,
USA,Blackjack (GTS 0886),"Gen-Tec Seeds, Limited",T39/8/T39/PI 326418,"Medium maturity (94 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, not adapted to direct harvest, 41 days to 50% bloom","Bean common mosaic virus (1, 15), anthracnose (Alpha, Beta, Gamma, Delta)","bacterial blight (common & fuscans), white mold",,9200164,Black,,,,,
USA,Blizzard (08072),"ProVita, Cooperative Elevator Company & ATM",Vista/HMS Medalist,"Medium maturity (94 days), 2b erect growth habit- indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 48 days to 50% bloom",Bean common mosaic virus (I gene),,,201700206,Navy,,,,,
USA,Canario 707 (UC Canario 707),University of California,84 VA-909/PAD 2,"late maturity (105 days), 1a bush-determinate, strong and erect stem and branches, not adapted to direct harvest, 42 days to 50% bloom",Bean common mosaic virus (All strains),,,200300257,Yellow,,,,,
